date,avg_nitrogen_dioxide,max_nitrogen_dioxide,min_nitrogen_dioxide,max_time_nitrogen_dioxide,min_time_nitrogen_dioxide,avg_ozone,max_ozone,min_ozone,max_time_ozone,min_time_ozone,avg_sulphur_dioxide,max_sulphur_dioxide,min_sulphur_dioxide,max_time_sulphur_dioxide,min_time_sulphur_dioxide,avg_pm2_5,max_pm2_5,min_pm2_5,max_time_pm2_5,min_time_pm2_5,avg_pm10,max_pm10,min_pm10,max_time_pm10,min_time_pm10,pm2_5_avgdRolls,pm10_avgdRolls,eaqi,nitrogen_dioxide_eaqi,ozone_eaqi,sulphur_dioxide_eaqi,pm2_5_eaqi,pm10_eaqi,avg_temperature_2m,min_temperature_2m,max_temperature_2m,avg_apparent_temperature,avg_relative_humidity_2m,avg_dew_point_2m,sum_precipitation,sum_rain,avg_pressure_msl,avg_surface_pressure,avg_cloud_cover,sum_et0_fao_evapotranspiration,avg_vapour_pressure_deficit,max_wind_speed_10m,max_wind_speed_100m,avg_wind_direction_10m,avg_wind_direction_100m,max_wind_gusts_10m,avg_soil_temperature_0_to_7cm,avg_soil_temperature_7_to_28cm,avg_soil_moisture_0_to_7cm,avg_soil_moisture_7_to_28cm,avg_shortwave_radiation,avg_direct_radiation,avg_diffuse_radiation,avg_direct_normal_irradiance,avg_global_tilted_irradiance,avg_terrestrial_radiation
2023-05-26,19.85,37.9,11.3,23:00:00,17:00:00,61.625,116.0,16.0,18:00:00,09:00:00,2.7375000000000003,3.8,2.0,11:00:00,21:00:00,13.554166666666667,16.7,11.2,08:00:00,18:00:00,20.1125,25.1,16.9,09:00:00,20:00:00,12.916666666666666,18.16232638888889,2,1,2,1,2,1,20.129166666666663,12.8,26.7,21.104166666666668,72.375,14.391666666666666,0.0,0.0,1018.6583333333332,1001.625,5.75,4.97,0.8141666666666666,8.3,15.0,239.70833333333331,240.45833333333331,20.2,20.2125,18.566666666666663,0.3730416666666666,0.373875,310.3333333333333,241.58333333333331,68.75,356.75416666666666,310.3333333333333,470.9166666666667
2023-05-27,19.004166666666663,53.0,6.5,00:00:00,12:00:00,79.41666666666667,112.0,29.0,17:00:00,00:00:00,1.9958333333333331,2.4,1.7,00:00:00,07:00:00,13.933333333333332,20.7,10.7,03:00:00,16:00:00,18.58333333333333,25.8,13.7,05:00:00,14:00:00,13.939409722222225,19.794097222222224,2,1,2,1,2,1,20.141666666666666,16.8,25.4,20.45,73.625,15.033333333333331,1.1,1.1,1018.125,1001.1,36.458333333333336,4.34,0.6841666666666667,22.5,35.7,77.54166666666667,85.29166666666667,41.8,20.766666666666666,19.6375,0.356,0.3533333333333333,262.875,169.08333333333334,93.79166666666669,229.79166666666663,262.875,472.1
2023-05-28,14.804166666666667,28.0,6.8,23:00:00,16:00:00,78.625,119.0,42.0,17:00:00,08:00:00,2.375,3.0,1.6,19:00:00,03:00:00,14.4375,17.4,12.2,23:00:00,05:00:00,18.829166666666666,21.9,14.0,10:00:00,05:00:00,13.444097222222224,17.571180555555557,2,1,2,1,2,1,19.791666666666668,16.3,24.0,20.741666666666667,75.375,15.033333333333331,11.8,11.8,1015.4083333333332,998.4166666666666,52.708333333333336,4.08,0.6295833333333333,15.7,27.1,121.25,113.54166666666669,33.1,20.870833333333334,19.808333333333334,0.3888333333333333,0.3693333333333333,254.125,153.08333333333334,101.04166666666669,206.53333333333333,254.125,473.2791666666667
2023-05-29,18.2625,32.2,7.7,00:00:00,16:00:00,83.83333333333333,119.0,53.0,19:00:00,09:00:00,2.2625,3.4,1.5,02:00:00,15:00:00,12.925,15.8,10.0,01:00:00,06:00:00,17.541666666666668,20.5,14.5,10:00:00,07:00:00,13.96875,18.49704861111111,2,1,2,1,2,1,20.27083333333333,14.9,24.5,20.7875,66.45833333333333,13.466666666666669,0.0,0.0,1014.8458333333332,997.8875,19.08333333333333,4.640000000000001,0.8758333333333334,14.9,25.1,105.08333333333331,107.375,27.4,21.066666666666663,19.741666666666667,0.3655416666666666,0.3669166666666666,283.875,196.16666666666663,87.70833333333333,283.71250000000003,283.875,474.4375
2023-05-30,20.325,34.9,9.7,08:00:00,17:00:00,75.66666666666667,125.0,32.0,18:00:00,06:00:00,2.2583333333333333,2.6,2.1,02:00:00,09:00:00,13.6625,17.9,12.2,22:00:00,06:00:00,20.54583333333333,24.1,17.0,22:00:00,06:00:00,13.139930555555557,18.91510416666667,2,1,2,1,2,1,20.175,15.3,25.3,20.475,69.95833333333333,14.1,0.6,0.6,1015.5875,998.5958333333332,25.291666666666668,4.5200000000000005,0.7987500000000001,19.4,35.9,121.91666666666669,109.33333333333331,31.3,21.245833333333334,20.15,0.339625,0.3474166666666666,266.6666666666667,157.625,109.04166666666669,242.1625,266.6666666666667,475.525
2023-05-31,15.354166666666666,34.1,8.4,23:00:00,16:00:00,88.0,118.0,61.0,17:00:00,07:00:00,1.7875,2.3,1.4,07:00:00,03:00:00,12.7625,15.0,10.1,23:00:00,04:00:00,18.125,21.1,13.8,00:00:00,04:00:00,13.091319444444444,19.296354166666667,2,1,2,1,2,1,19.52083333333333,16.1,24.2,19.854166666666668,69.29166666666667,13.404166666666669,4.800000000000001,4.800000000000001,1017.5833333333334,1000.5291666666668,34.458333333333336,4.39,0.7583333333333333,12.6,23.7,231.04166666666663,152.75,28.4,20.766666666666666,19.925,0.375,0.3540833333333333,271.375,167.25,104.125,242.0666666666667,271.375,476.56666666666666
2023-06-01,19.6375,35.9,9.0,23:00:00,15:00:00,82.79166666666667,138.0,35.0,18:00:00,09:00:00,1.875,2.7,1.3,10:00:00,06:00:00,13.454166666666666,18.2,10.9,23:00:00,06:00:00,21.179166666666667,24.0,19.0,09:00:00,01:00:00,13.115972222222224,19.764236111111117,2,1,2,1,2,1,20.45,15.3,25.0,21.15833333333333,68.25,14.070833333333333,1.1,1.1,1016.1666666666666,999.1958333333332,21.166666666666668,4.6,0.8429166666666666,17.9,32.4,176.70833333333334,138.08333333333334,30.2,21.22083333333333,20.1125,0.342,0.3405833333333333,285.1666666666667,202.41666666666663,82.75,298.6625,285.1666666666667,477.5583333333333
2023-06-02,17.587500000000002,36.9,5.2,00:00:00,15:00:00,91.5,133.0,55.0,17:00:00,09:00:00,2.4250000000000003,3.9,1.5,10:00:00,19:00:00,15.175,24.4,11.6,06:00:00,13:00:00,19.883333333333333,24.1,15.5,09:00:00,18:00:00,15.084201388888888,21.28697916666667,2,1,2,1,2,2,20.745833333333334,15.8,25.4,21.766666666666666,71.95833333333333,15.145833333333334,0.1,0.1,1013.0833333333334,996.1666666666666,20.58333333333333,4.48,0.7675000000000001,17.6,31.8,280.3333333333333,272.9583333333333,28.4,22.2,20.933333333333334,0.3065833333333333,0.31925,274.0833333333333,172.25,101.83333333333331,254.6208333333333,274.0833333333333,478.48333333333335
2023-06-03,13.883333333333333,21.0,6.3,21:00:00,14:00:00,92.95833333333331,123.0,55.0,14:00:00,05:00:00,1.7791666666666668,2.3,1.4,06:00:00,15:00:00,13.220833333333331,18.3,8.9,00:00:00,21:00:00,16.0625,22.3,11.4,03:00:00,19:00:00,14.399131944444443,18.15451388888889,2,1,2,1,2,1,19.866666666666667,16.4,24.6,21.245833333333334,77.375,15.5,5.6,5.6,1014.8083333333334,997.8125,31.83333333333333,4.44,0.5908333333333333,16.2,25.1,122.375,110.125,28.1,21.575,20.854166666666668,0.3084166666666666,0.301125,281.75,189.20833333333331,92.54166666666669,267.075,281.75,479.3708333333333
2023-06-04,13.2625,21.0,7.4,22:00:00,15:00:00,80.25,102.0,55.0,18:00:00,03:00:00,1.2875,1.6,1.0,00:00:00,15:00:00,9.925,13.4,6.9,03:00:00,19:00:00,13.391666666666666,17.6,10.4,02:00:00,17:00:00,11.025520833333331,14.10590277777778,2,1,2,1,2,1,18.77083333333333,16.2,23.1,19.90833333333333,83.375,15.741666666666667,8.200000000000001,8.200000000000001,1016.4625,999.3875,64.5,2.98,0.3945833333333333,18.3,23.7,130.375,121.16666666666669,36.0,20.3875,20.195833333333333,0.378125,0.3185833333333333,193.79166666666663,65.5,128.29166666666666,100.69583333333333,193.79166666666663,480.2
